state_fips,population,high_school,bachelors,graduate,white,black,native,asian,hispanic,other,0_to_17,18_to_24,25_to_49,45_to_64,65_plus,per_capita_income,median_household_income,$0_to_50,$50_to_100,$100_to_200,$200_plus
23,1328535.0,0.913092232892,0.283640959155,0.0289179173361,0.9404230976225693,0.010881158569401634,0.005451869916863312,0.010926321098051613,0.013994362211006861,0.01832319058210736,0.199752358801,0.0867105495903,0.234000609694,0.309069012107,0.170467469807,27332.0,48804.0,0.51038174895,0.315728476223,0.144494707875,0.0293950669516
24,5887776.0,0.889963814997,0.372943876625,0.0538511469239,0.5355305636627481,0.29043903844167984,0.0020583323822101927,0.05856184066785149,0.08759232688200094,0.02581789796350948,0.229114694581,0.0960646260999,0.268276340676,0.27677428625,0.129770052393,36670.0,74149.0,0.333248917083,0.305899443548,0.270237288513,0.0906143508553
25,6657291.0,0.895216455844,0.399758316953,0.0519883823766,0.7499512940023202,0.06366778919533486,0.0012176123891835281,0.05769689202409809,0.10241763504103997,0.025048777348023393,0.210688101211,0.104146416313,0.262837090943,0.278335887676,0.143992503858,36441.0,67846.0,0.382510040438,0.285443483022,0.247354622935,0.0846918536056
26,9889024.0,0.89274579997,0.264155566439,0.0272534024267,0.7610850170856093,0.13835126702089104,0.004898056673742525,0.026213001404385306,0.046223874064821764,0.023228783750550104,0.229979925218,0.100607805179,0.243086577604,0.280499369806,0.145826322193,26143.0,49087.0,0.507801446231,0.303977136169,0.155671807894,0.0325496097056
27,5383661.0,0.922822894243,0.331713356309,0.0329715150027,0.8213368189416087,0.05300519479216838,0.009670371147068882,0.042991934298983535,0.04908648594330141,0.023909194876869103,0.237760512781,0.0936929349749,0.261252147934,0.271627986978,0.135666417332,31642.0,60828.0,0.412257243172,0.330591295855,0.207218518846,0.049932942127
28,2984345.0,0.819396960288,0.204066043011,0.02156467355,0.5759096217092863,0.37168591432961,0.003985129065171755,0.00948516341106675,0.028171340779970144,0.010762830704895044,0.249066042968,0.10436293391,0.254749367114,0.256727355584,0.135094300424,20956.0,39464.0,0.596837713145,0.270053732884,0.111255716727,0.0218528372445
29,6028076.0,0.880181586674,0.266582442485,0.0278786178961,0.8047778428805477,0.11448346039432813,0.0035993242288252505,0.01766002950195054,0.037555598170958694,0.02192374482338975,0.233323866521,0.0983152833508,0.253492324914,0.268461611964,0.146406913251,26006.0,47764.0,0.518425550729,0.303738048612,0.146877562222,0.0309588384369
30,1006370.0,0.924365459968,0.290701210597,0.0298687057723,0.8721573576318848,0.004397984836590916,0.06259328080129574,0.007097787096197223,0.03170007055059272,0.022053519083438496,0.222253246818,0.0981160010732,0.237549807725,0.284898198476,0.157182745909,25977.0,46766.0,0.529089228219,0.308606978472,0.135332040206,0.0269717531026
31,1855617.0,0.905196439847,0.289607203278,0.0285406341865,0.8120635885530257,0.045231316591732025,0.006955637936061159,0.019613422381881605,0.09724420502722275,0.018891829510076702,0.249325695981,0.101171200738,0.2545288171,0.256118584816,0.138855701365,27339.0,52400.0,0.475456930841,0.330287811395,0.162435888846,0.0318193689179
32,2761584.0,0.848510758041,0.225349582233,0.0239691112169,0.526941059913441,0.07984656631846071,0.00880074623839072,0.07983678932091148,0.27232523073714215,0.03224960747165395,0.239391595548,0.0914562077416,0.280644369318,0.257357371711,0.131150455681,26515.0,52205.0,0.478236665944,0.322787830108,0.165037705352,0.033937798596
33,1321069.0,0.920035515591,0.343613341414,0.0322621712169,0.9166409930139909,0.010966876067790555,0.0016191432847186635,0.023201664712441214,0.030506355080620315,0.017064967840438313,0.208714306369,0.0956119627362,0.23993296338,0.308977805096,0.146762962419,33821.0,65986.0,0.377191192887,0.327522229493,0.238467608453,0.0568189691674
34,8874374.0,0.883934910182,0.363501696207,0.0389315636978,0.5782456317482225,0.12770016228750333,0.0011721390151012343,0.08759536165593201,0.18590426772637708,0.01938243756686387,0.229434098676,0.0885323291536,0.262924122873,0.278337379065,0.140772070233,36359.0,72062.0,0.356744147244,0.287199803795,0.258132826177,0.0979232227839
35,2080085.0,0.839718443868,0.260858535911,0.0334835034665,0.39627755596526104,0.01803724367033078,0.08535949252073834,0.013428778150892872,0.4702639555595084,0.016632974133268592,0.24560390561,0.100570409382,0.250453226671,0.261422970696,0.141949487641,23948.0,44968.0,0.543883486512,0.282640934033,0.144034660069,0.0294409193863
36,19594330.0,0.853771500617,0.336796893321,0.0411047962397,0.5726341752945878,0.14415221137951642,0.0024095235713596738,0.0773773331366778,0.1816670434763526,0.02175971314150573,0.218034094557,0.101680639246,0.27111577686,0.268558812677,0.14061067666,32829.0,58687.0,0.436644583275,0.284188552508,0.206312759044,0.0728541051733
37,9750405.0,0.854134696793,0.277943947134,0.027398877945,0.6455657995744792,0.2115398283455918,0.010892880859820694,0.024142894577199613,0.08703197456926148,0.0208266220736472,0.234269653414,0.0995993499757,0.264890637876,0.263185375377,0.138054983357,25608.0,46693.0,0.529910375753,0.294193956255,0.141877091175,0.0340185768176
38,704925.0,0.913331166976,0.273216190104,0.0243846054867,0.8773387239777282,0.014747668191651594,0.0513175160478065,0.01181969713090045,0.025889279001312198,0.018887115650601128,0.224564315353,0.12497357875,0.250680568855,0.256642905274,0.143138631769,30894.0,55579.0,0.453884955026,0.329216447494,0.175926811931,0.0409717855483
39,11560380.0,0.888217890736,0.25624399909,0.0262193920637,0.8054720519567696,0.1201444070177624,0.0014714049192154582,0.018131064895790625,0.03283127371245582,0.021949797498006123,0.231277951071,0.0956376866504,0.248865781229,0.276766767182,0.147451813868,26520.0,48849.0,0.509751718539,0.304665958427,0.153221160106,0.0323611629283
40,3818851.0,0.866934937925,0.238192254551,0.0227342214194,0.67768315653059,0.07143824150248333,0.0688461005679457,0.01948282349848161,0.09372347860652328,0.06882619929397613,0.24649429894,0.101732955803,0.258546877058,0.253375426274,0.139850441926,24695.0,46235.0,0.532658399288,0.301321893337,0.136883437681,0.0291362696941
41,3900343.0,0.894814176268,0.300695531745,0.0338857896687,0.7762386538824919,0.017256174649255208,0.009665560182783924,0.04200348533449494,0.12145829225788604,0.03337783369308802,0.220516246904,0.0930374585004,0.266679366404,0.270479288616,0.149287639574,27173.0,50521.0,0.494990768148,0.310360948346,0.16010500411,0.0345432793955
42,12758729.0,0.889695758231,0.280989624336,0.0319136677186,0.7853790922277603,0.10509871320254549,0.0011912628601171793,0.029549730227830688,0.061492175278587705,0.017289026203158638,0.214772176758,0.0982675468693,0.245919558288,0.281028071056,0.160012647028,28912.0,53115.0,0.471894630936,0.308880908544,0.175431487276,0.0437929732442
44,1053252.0,0.854049578237,0.313847026018,0.0366370131856,0.7509332999130313,0.05228188505694743,0.0036268623273442635,0.03119956097875912,0.1327621499887966,0.02919624173512132,0.206433028373,0.113614785445,0.249506290992,0.279796288068,0.150649607122,30765.0,56423.0,0.449264959018,0.298794586504,0.200784239042,0.0511562154362
45,4727273.0,0.850264693283,0.253434689758,0.0241134079122,0.6392309054289862,0.274151926491235,0.0029945382887766373,0.01371403767034398,0.05255863158315587,0.017349960537502276,0.228467448358,0.102416340245,0.254484139164,0.267517446105,0.147114626128,24222.0,45033.0,0.544463347469,0.291874824234,0.13626494182,0.027396886477
46,834708.0,0.90698195386,0.266738767986,0.0242377948014,0.8361990061195053,0.014722513741332299,0.08341240290017587,0.011530978497869914,0.03169851013767689,0.022436588603439767,0.246804870685,0.100746608395,0.244613685265,0.261263819204,0.146571016451,26311.0,50338.0,0.496736482004,0.331545913953,0.141353893751,0.0303637102913
47,6451365.0,0.849460696737,0.243878629496,0.027289983518,0.7500660712887893,0.16658428100099745,0.0021173813603787726,0.015613594952386045,0.048025185367747754,0.017593486029700692,0.23134235933,0.0965141485562,0.26155054008,0.268263693032,0.142329259002,24811.0,44621.0,0.547245682049,0.290314708551,0.131581454794,0.0308581546056
48,26092033.0,0.815828469817,0.270875822516,0.0256799740423,0.4431411304745782,0.1155819096196912,0.0025285112892506306,0.041093156673533256,0.3818270120998237,0.015828279843122996,0.267901240198,0.102529956175,0.280679163636,0.23967020891,0.109219431081,26513.0,52576.0,0.476209901901,0.295318109937,0.178475660398,0.049996327764
49,2858111.0,0.910174417189,0.306486527289,0.0298886973376,0.7976950510319578,0.0100482451521302,0.009843564508166407,0.029951950781477697,0.13276391294809753,0.019697275578170338,0.311025359057,0.114214598383,0.281078656497,0.19862874465,0.0950526414125,24312.0,59846.0,0.409758378208,0.361517707104,0.189551592624,0.0391723220642
50,626358.0,0.916424326716,0.35202243704,0.0401177025023,0.9385734675696646,0.010019828915731898,0.0030142506362176263,0.013281541865833916,0.016326126592140597,0.01878478442041133,0.199583944006,0.105933028715,0.232399043359,0.304860798457,0.157223185463,29535.0,54447.0,0.460874939748,0.330963413307,0.172558425202,0.0356032217437
51,8185131.0,0.878861687382,0.357667204435,0.040540071349,0.6386476893283687,0.18935665171394325,0.002107724360184339,0.058326616886156125,0.08396505810352943,0.027596259607818127,0.227520365893,0.100392040152,0.273252437866,0.269203999301,0.129631156789,33958.0,64792.0,0.390468519353,0.30130584441,0.228622057987,0.0796035782504
53,6899123.0,0.901781263265,0.323025680808,0.0340096138365,0.713413719395929,0.03486819991468481,0.011921370295905726,0.08042862839233335,0.11740593695749445,0.04196214504365265,0.230492339389,0.0961171441646,0.274100200852,0.267608216291,0.131682099305,31233.0,60294.0,0.416658602342,0.321102776295,0.209770862283,0.0524677590803
54,1853881.0,0.844317865047,0.187481422501,0.0204556550291,0.9271743979252174,0.031514967789194666,0.0015556554061452704,0.007292808977491004,0.012978718698773007,0.01948345120317863,0.206985777404,0.0925302109467,0.244320967743,0.288069730474,0.168093313433,23237.0,41576.0,0.580045503591,0.28319182498,0.116707684557,0.0200549868729
55,5724692.0,0.907507280586,0.274177712513,0.0260210672826,0.8268935691212732,0.061348453331637756,0.007968463630881802,0.024055442633420278,0.06206307693060168,0.017670994352185235,0.229996827777,0.0973040995044,0.250102712949,0.278658659715,0.143937700054,27907.0,52738.0,0.473353537556,0.330150659544,0.165624768342,0.0308710345579
56,575251.0,0.922943704769,0.25122409459,0.0248859873313,0.8481827932502508,0.010030404119245337,0.01953582001595825,0.009654915854122809,0.09418671153983217,0.018409355220590663,0.23792049036,0.0995895704658,0.259980425936,0.271743986538,0.130765526701,29381.0,58252.0,0.430186152523,0.334533554458,0.202998483464,0.0322818095551
72,3638965.0,0.719336616663,0.236180507717,0.0213697447023,0.0070302957022120305,0.0008345779637891544,2.7205537838368878e-05,0.0006438643955080634,0.9898193579767873,0.0016446984238650275,0.229815345847,0.102007026723,0.256884581193,0.251321735713,0.159971310524,11331.0,19686.0,0.826749118372,0.132932029701,0.0332948300944,0.00702402183246
